# GREAT version 3.0.0	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009L18Rik	. (+5071)
Slc7a5	. (+9186), . (+56587)
Slc7a6os	. (-126)
Slc9a1	. (+22)
Slc9a8	. (-161)
Slc9b1	. (+54393)
Slfn3	. (+33114), . (+100373)
Slmap	. (+21)
Slmo1	. (+36)
Sltm	. (-254)
Slx4	. (-2259)
Smad3	. (-116)
Smad7	. (-210)
Smarca2	. (+142910)
Smarcd1	. (-296)
Smarce1	. (+400)
Smc1a	. (+62)
Smc3	. (-327)
Smc4	. (+49)
Smchd1	. (+54)
Smcr7	. (+29)
Smcr7l	. (-131)
Smcr8	. (-118)
Smek1	. (-5)
Smg8	. (-31)
Smim13	. (+50)
Smim14	. (+75)
Smim8	. (+69)
Smndc1	. (-268)
Smox	. (+18108)
Smtn	. (+3638)
Smtnl1	. (-4245)
Smu1	. (-24218)
Smyd4	. (-60)
Smyd5	. (-21)
Snai1	. (-266)
Snap29	. (-38)
Snapc4	. (+79)
Snapin	. (+38)
Snd1	. (-160)
Snhg11	. (-14015)
Snn	. (+54)
Snrnp200	. (-71)
Snrnp25	. (-74)
Snrnp35	. (-40)
Snrpa	. (-29)
Snrpa1	. (+230)
Snrpc	. (+80)
Snrpd1	. (+35)
Snrpd2	. (+7904)
Snrpe	. (+65)
Snrpg	. (-145)
Snupn	. (-14)
Snw1	. (+108)
Snx11	. (-146)
Snx12	. (+98)
Snx13	. (-157)
Snx14	. (-24)
Snx17	. (-251)
Snx18	. (-56)
Snx3	. (-44)
Snx32	. (-164)
Snx33	. (+3583)
Snx5	. (-7)
Snx8	. (-25)
Snx9	. (-42747), . (-36779), . (+689)
Socs3	. (-37)
Socs4	. (+45)
Socs5	. (-455), . (+11521), . (+94972), . (+139409)
Socs7	. (+37817)
Sod1	. (-23116), . (-2)
Sod2	. (+65)
Solh	. (-60)
Sorl1	. (+916489)
Sos1	. (-80653), . (-73188), . (-2703), . (-116)
Sowahb	. (-48283)
Sox4	. (-4458)
Sp1	. (-29152)
Sp2	. (-24293)
Sp6	. (-20436), . (+8751)
Sp7	. (-10851)
Spaca4	. (-16733)
Spag9	. (+137522)
Spata5	. (+288)
Spdya	. (+46744)
Spen	. (-20810)
Spesp1	. (+163301)
Spg11	. (+29)
Spg7	. (-22714), . (+235)
Sphk2	. (-163)
Sppl3	. (-73)
Spred1	. (-763)
Spred2	. (-3959), . (-173)
Spry4	. (-210)
Spryd3	. (-217)
Spryd4	. (-60)
Spryd7	. (+375)
Spsb3	. (-706)
Sptssa	. (+339356), . (+343054)
Spty2d1	. (+227)
Srcrb4d	. (+16780)
Srd5a3	. (+329)
Srebf1	. (-2375)
Srek1	. (+130)
Srf	. (-55)
Srfbp1	. (-51)
Srl	. (-18824)
Srm	. (-291)
Srp19	. (-258)
Srrm2	. (-175)
Srsf1	. (+122)
Srsf11	. (+70), . (+4988)
Srsf2	. (-495)
Srsf3	. (-113), . (+16471), . (+46452), . (+49341)
Srsf4	. (-139)
Srsf6	. (-169)
Srsf7	. (-635)
Srsf9	. (-7429)
Ssbp1	. (+1)
Ssbp2	. (-89877)
Ssna1	. (+29)
Sspn	. (+72127)
Ssr1	. (-87)
Ssr2	. (+27750)
Ssrp1	. (+7)
Sssca1	. (+54)
Ssx2ip	. (+38)
St13	. (+162)
St3gal1	. (-62565)
Stag1	. (-78)
Stag2	. (-1515)
Stat1	. (-5628), . (-113)
Stat3	. (-259), . (+78915)
Stat5a	. (+1274)
Stk17b	. (-6345), . (+229)
Stk19	. (-77)
Stk25	. (-172)
Stk4	. (+73)
Stk40	. (-662), . (+6783)
Stmn1	. (+47)
Stoml1	. (+66), . (+22230)
Stoml2	. (-8672), . (+272)
Ston1	. (-29340)
Strap	. (+78)
Strn	. (+437)
Stt3a	. (-129)
Stt3b	. (-504)
Stub1	. (+321)
Stx12	. (-65)
Stx16	. (-830)
Stx4a	. (-166)
Stx6	. (+65711)
Stxbp5	. (-420194)
Sub1	. (-41358), . (+196)
Suco	. (-528)
Suds3	. (-4021), . (-63)
Sufu	. (+82130)
Sugp2	. (+91)
Sugt1	. (-363)
Sult2b1	. (+17063)
Sumo3	. (+382)
Supt16	. (-102)
Supt3	. (-520396), . (-94)
Supt4a	. (-177)
Supv3l1	. (-174)
Surf1	. (+4)
Surf2	. (+159)
Surf6	. (-30)
Susd1	. (+106750)
Suv420h1	. (+499)
Svil	. (+50665)
Swi5	. (-102)
Swsap1	. (-382)
Syf2	. (+15395)
Syncrip	. (-40503)
Syne1	. (+347069)
Syne3	. (-26898)
Synj2	. (-110)
Synrg	. (+57)
Syp	. (+10551)
Sytl3	. (+104807)
T	. (-61599)
Tab1	. (+123)
Tac4	. (-2122)
Tacc1	. (-73640)
Taco1	. (-197)
Taf10	. (-11)
Taf11	. (+1466)
Taf12	. (-4123), . (-1)
Taf15	. (-181)
Taf1c	. (+31)
Taf3	. (-75), . (+159082)
Taf4a	. (-488)
Taf4b	. (-29)
Taf5	. (-195)
Taf5l	. (-152)
Taf8	. (-31)
Taf9	. (-231)
Taf9	. (-231)
Tagap	. (-78)
Tamm41	. (-11)
Tango6	. (+283)
Taok3	. (-4073), . (-115), . (+13462)
Tap1	. (-16374)
Tap2	. (+887)
Tapbp	. (+264)
Tars	. (-106)
Tas1r1	. (-760)
Tasp1	. (+27)
Tatdn2	. (-99)
Tatdn3	. (-82)
Tbc1d13	. (-9)
Tbc1d14	. (+3969)
Tbc1d15	. (-56)
Tbc1d20	. (+121)
Tbc1d25	. (+152)
Tbc1d5	. (+639)
Tbc1d7	. (-271)
Tbcb	. (+194)
Tbcc	. (-119)
Tbccd1	. (-35)
Tbck	. (-152), . (+187449)
Tbl1x	. (-77319), . (-1679)
Tbl1xr1	. (-140448)
Tbl3	. (+117)
Tbp	. (-49)
Tbpl1	. (-50)
Tbrg4	. (+135)
Tbx18	. (-510509)
Tceal1	. (+33906)
Tceb2	. (-399)
Tcerg1	. (-133)
Tcf12	. (-21577), . (-138)
Tcf25	. (-162)
Tchp	. (+16)
Tcp1	. (-88)
Tdrd1	. (-3937)
Tdrd12	. (-17553)
Tead1	. (+81649)
Tecpr2	. (+21)
Tef	. (-8963), . (-126), . (+20199)
Tefm	. (+25)
Telo2	. (+291)
Tesk1	. (+318)
Tesk2	. (-46)
Tet3	. (-14916)
Tex10	. (-4)
Tex14	. (-608)
Tex2	. (+112025)
Tex24	. (-83007)
Tex35	. (+33461)
Tfam	. (+155)
Tfap4	. (-8227), . (-247), . (+17821)
Tfb2m	. (-123)
Tfdp2	. (-77429)
Tfeb	. (-48521), . (-31478), . (-25802), . (-16717)
Tfg	. (-50)
Tfrc	. (-141)
Tgds	. (-4272)
Tgfbr1	. (-101971), . (+84850)
Tgfbr2	. (-200935)
Tgfbrap1	. (+32)
Tgif1	. (-797), . (+96499), . (+113211)
Thada	. (+133115)
Thap2	. (-462)
Thap4	. (+28)
Thap8	. (+658)
Themis2	. (-11968)
Thoc1	. (-121)
Thoc6	. (+238)
Thra	. (+12990), . (+32122)
Thrap3	. (-83)
Thumpd1	. (-64)
Thumpd2	. (-131)
Thumpd3	. (+12)
Tia1	. (-3124)
Tial1	. (-191)
Tiam1	. (-222927)
Tiam2	. (-96149)
Ticam1	. (-259)
Timm10	. (-100)
Timm13	. (-13)
Timm22	. (-142)
Timm23	. (+36111)
Timm44	. (-31)
Timm50	. (-78)
Timm8b	. (-1)
Timm9	. (-185)
Tinf2	. (-51)
Tiparp	. (-85)
Tiprl	. (+3)
Tjap1	. (+16743)
Tjp2	. (+58339)
Tjp3	. (-1695)
Tk1	. (-6268)
Tlcd2	. (-6656)
Tle3	. (-1033), . (+334699)
Tle6	. (-139)
Tln1	. (-3)
Tlr1	. (+47408)
Tlr5	. (+28350)
Tlr9	. (-10280)
Tm9sf1	. (+398)
Tm9sf4	. (+86)
Tma16	. (-37)
Tmbim1	. (+8635)
Tmc6	. (-138)
Tmc8	. (-1538)
Tmcc2	. (+701)
Tmco1	. (-27)
Tmed1	. (-392)
Tmed2	. (-133)
Tmem101	. (-90)
Tmem104	. (-64)
Tmem120b	. (-18263), . (-89)
Tmem123	. (-118)
Tmem126a	. (+4)
Tmem126b	. (-92)
Tmem127	. (-69)
Tmem131	. (-271)
Tmem147	. (-108)
Tmem151b	. (-2751)
Tmem154	. (+12960)
Tmem161a	. (-13827)
Tmem161b	. (+125872)
Tmem167b	. (-199)
Tmem179b	. (-134)
Tmem180	. (-7879)
Tmem186	. (+208)
Tmem191c	. (-73)
Tmem194b	. (-62)
Tmem198	. (-214)
Tmem198b	. (-1169)
Tmem199	. (-19)
Tmem203	. (-38)
Tmem206	. (+62)
Tmem208	. (+32)
Tmem217	. (+36158), . (+56753)
Tmem220	. (-107)
Tmem221	. (+26)
Tmem222	. (+30)
Tmem229b	. (+2642)
Tmem234	. (+138)
Tmem238	. (+553)
Tmem242	. (-135), . (+301318), . (+442965)
Tmem260	. (-99)
Tmem29	. (-37003), . (-17876)
Tmem33	. (-17)
Tmem42	. (-115)
Tmem54	. (+7731)
Tmem55b	. (-273)
Tmem60	. (+326)
Tmem65	. (-135)
Tmem97	. (+19)
Tmpo	. (+768)
Tmppe	. (-74)
Tmprss13	. (-18307)
Tmprss6	. (+18217)
Tmtc4	. (-349)
Tmub1	. (-3917), . (-27)
Tmub2	. (-387)
Tnf	. (+1374), . (+6372)
Tnfaip1	. (-94)
Tnfaip3	. (-63)
Tnip1	. (-10946)
Tnpo1	. (+868), . (+35340)
Tnpo2	. (-93)
Tnpo3	. (+55)
Tnrc6a	. (-28244)
Tnrc6b	. (+39073)
Tnrc6c	. (+226)
Tob1	. (-77829), . (-203)
Tob2	. (-24)
Tob2	. (+446)
Tomm20	. (-210), . (+63842), . (+97892), . (+106666)
Tomm22	. (-63)
Tomm34	. (-3109)
Tomm40l	. (-120)
Tomm6	. (+221)
Tomm7	. (-6382)
Tomt	. (-1986)
Tonsl	. (+21)
Top1	. (-4)
Top3a	. (-42)
Top3b	. (+123)
Topors	. (+134)
Tor1aip1	. (+414)
Tor1aip2	. (+663)
Tor1b	. (-10106)
Tor4a	. (+3343), . (+11031)
Tox4	. (-21324), . (+318)
Tpcn1	. (-215), . (+10475)
Tpm1	. (+5349), . (+47997)
Tpp2	. (-226)
Tpra1	. (-3466)
Tprgl	. (-146)
Tpt1	. (-10737), . (+67)
Tpx2	. (-118)
Traf1	. (-5613)
Traf3	. (-6387)
Traip	. (-37)
Trak1	. (+16799)
Tram1	. (-51)
Trap1	. (+23)
Trappc1	. (-29)
Trappc10	. (-161)
Trappc3	. (+24)
Trappc5	. (+92)
Trappc8	. (-243)
Trerf1	. (-1046), . (+191702)
Triap1	. (-90)
Trib1	. (+80057)
Trib2	. (-393954)
Trib3	. (+204)
Trim14	. (-27890)
Trim2	. (-42586)
Trim25	. (+33)
Trim26	. (-174)
Trim35	. (-163)
Trim37	. (-63)
Trim46	. (-303)
Trim62	. (-72042)
Trim65	. (+333)
Trim8	. (-22600)
Trip12	. (-318)
Trip13	. (+96)
Trmt10a	. (+279)
Trmt10c	. (+81)
Trmt112	. (+174)
Trmt2a	. (-73)
Trmt5	. (-65)
Trmt6	. (-86)
Trmt61a	. (+18331)
Trmu	. (-49)
Trnt1	. (-89)
Trove2	. (-188)
Trp53bp2	. (+80896), . (+97437)
Trp53inp1	. (-73)
Trpc2	. (-340)
Trpc4ap	. (+92)
Trpm7	. (-79)
Trpv2	. (+2325), . (+28168)
Trpv4	. (-9102)
Trub1	. (+34)
Tsc1	. (-158)
Tsc2	. (+7)
Tsc22d2	. (-1048)
Tsc22d3	. (+57364), . (+80247), . (+96593)
Tsen54	. (-620)
Tsfm	. (+182)
Tsn	. (-238)
Tspan3	. (-19433)
Tspan4	. (+24)
Tsr1	. (-124)
Tsr2	. (-19)
Tsr3	. (-182)
Tssk6	. (-516)
Tsx	. (+79116), . (+207955)
Ttc13	. (-222)
Ttc14	. (-252)
Ttc19	. (-389)
Ttc25	. (-178)
Ttc3	. (+231)
Ttc33	. (+39)
Ttc39d	. (-145)
Ttc7	. (+32417)
Ttc7b	. (+243756), . (+318795)
Tti1	. (+130)
Ttk	. (-112)
Ttll11	. (-135), . (+80539)
Ttll4	. (-92)
Ttll8	. (+90448)
Ttpal	. (-155)
Tuba1a	. (-32053)
Tuba3a	. (+14313)
Tubb2a	. (-50)
Tubb5	. (-3082), . (+17)
Tubd1	. (-106)
Tubg1	. (-3)
Tubgcp6	. (-72)
Tusc2	. (-8686)
Tut1	. (+5)
Tvp23b	. (+252)
Twf1	. (-41)
Twf2	. (+9210)
Twistnb	. (+33)
Txlng	. (-39)
Txn2	. (+61)
Txndc11	. (-110)
Txndc9	. (+49)
Txnip	. (-34)
Txnl1	. (-50)
Txnl4b	. (-53)
Txnrd2	. (+87)
Tyw1	. (-1528)
Tyw3	. (+216)
Tyw5	. (+508)
U2af1	. (-155)
U2surp	. (-44)
Uap1	. (-327)
Uap1l1	. (+61)
Uba1	. (-63)
Uba3	. (-4962)
Uba52	. (+226)
Uba6	. (-50)
Ubac1	. (-136)
Ubac2	. (-224)
Ubald1	. (-245)
Ubald2	. (-9887), . (-191)
Ubap2	. (-369)
Ubap2l	. (-185)
Ubash3b	. (-49746), . (+84246)
Ubb	. (+382)
Ubc	. (-3057), . (+349)
Ube2a	. (-156)
Ube2b	. (-3643), . (-185)
Ube2cbp	. (-2292), . (+52)
Ube2d1	. (-83)
Ube2d3	. (+234)
Ube2f	. (-113)
Ube2g1	. (+1104)
Ube2i	. (+153)
Ube2n	. (-243)
Ube2q1	. (-208)
Ube2v1	. (-2462), . (-54)
Ube2z	. (+9)
Ube4b	. (-18759)
Ubfd1	. (-18)
Ubiad1	. (-3665)
Ubl4	. (-4715)
Ubn1	. (-186)
Ubqln4	. (-693)
Ubr2	. (-148), . (+15406)
Ubr5	. (-145)
Ubr7	. (-36)
Ubtf	. (+9911)
Ubxn1	. (-78)
Ubxn11	. (+85)
Ubxn4	. (+69)
Ubxn6	. (-7)
Uchl3	. (-110)
Uchl5	. (-22)
Ufl1	. (+69)
Ugcg	. (+142626)
Uggt1	. (+19)
Ulk2	. (+49)
Unc45b	. (-2245)
Unc50	. (-99)
Unkl	. (-3909)
Uqcc	. (+165)
Uqcrc1	. (-47)
Uqcrq	. (-30)
Urb2	. (-1933)
Urgcp	. (-21103)
Urm1	. (-128)
Urod	. (-19)
Usmg5	. (-114)
Usp11	. (+115381)
Usp12	. (+33)
Usp16	. (+252)
Usp19	. (+35)
Usp2	. (-64), . (+12353)
Usp27x	. (-47105), . (-231)
Usp28	. (-298)
Usp31	. (-151)
Usp32	. (-131)
Usp34	. (-49643)
Usp36	. (-82)
Usp4	. (-63)
Usp42	. (-174)
Usp47	. (-96)
Usp7	. (-12329)
Usp9x	. (-29685), . (-351), . (+136657)
Uspl1	. (-171)
Utp11l	. (+25)
Utp14a	. (-66)
Utp15	. (-117)
Utp18	. (-104)
Utp20	. (+135)
Utp23	. (+76)
Utp3	. (-164)
Utp6	. (-61)
Utrn	. (+40332)
Uvrag	. (-152)
Uvssa	. (-126)
Vac14	. (-43)
Vamp4	. (-312)
Vapa	. (-162)
Vav1	. (+68056)
Vav2	. (-15331), . (+15092)
Vcan	. (+3133)
Vcl	. (-44095)
Vcp	. (+746)
Vdac2	. (-18098)
Vegfa	. (-42721), . (-41573), . (+217), . (+296693)
Vezt	. (-182)
Vgf	. (+2352)
Vgll4	. (+60334)
Vil1	. (-11989)
Vimp	. (-56)
Vipas39	. (-245)
Vma21	. (-150)
Vmn1r188	. (-36970)
Vmn1r238	. (-157500)
Vmn2r82	. (+60756)
Vmn2r83	. (-51611)
Vmn2r95	. (+134667)
Vmn2r96	. (-22956)
Vmp1	. (-78)
Vpreb1	. (-1649)
Vps11	. (-169)
Vps13d	. (-4182)
Vps16	. (+144)
Vps18	. (-207)
Vps29	. (+19)
Vps33a	. (+19)
Vps37b	. (-30)
Vps4a	. (+233)
Vps51	. (-4693)
Vps52	. (-4362), . (+34)
Vps8	. (+117)
Vps9d1	. (+177)
Vsig4	. (+162944)
Vta1	. (+21)
Vwa9	. (-16)
Vwf	. (+50441)
Wapal	. (-157)
Wars	. (-1097)
Wars2	. (+160)
Wasf2	. (+54939)
Wash	. (-109)
Wbp5	. (-64)
Wdfy2	. (-434)
Wdfy4	. (-320)
Wdhd1	. (-144)
Wdr18	. (-48)
Wdr20a	. (-34607)
Wdr25	. (+22)
Wdr26	. (-626)
Wdr36	. (+95)
Wdr37	. (-33)
Wdr38	. (-286)
Wdr4	. (+576)
Wdr41	. (+158)
Wdr43	. (-17410), . (+16)
Wdr5	. (-188)
Wdr53	. (-69)
Wdr61	. (-1963), . (-69)
Wdr62	. (-333)
Wdr67	. (-5334)
Wdr70	. (-81)
Wdr74	. (-20)
Wdr75	. (+132)
Wdr76	. (-3175)
Wdr77	. (-5)
Wdr81	. (-6706), . (+72)
Wdr85	. (+95)
Wdr86	. (-20176)
Wdr90	. (+115)
Wee1	. (-197)
Wipf2	. (+13)
Wiz	. (+24347)
Wnt10a	. (+11575)
Wrb	. (-66)
Wrnip1	. (-83)
Wsb1	. (-67), . (+40487)
Wtap	. (-345)
Xbp1	. (+1349)
Xpnpep2	. (+19125)
Xpnpep3	. (-257)
Xpo1	. (+1232)
Xpo5	. (-163)
Xpot	. (-361)
Xrcc2	. (+175856)
Xrcc5	. (-135)
Xrcc6	. (-30)
Xrcc6bp1	. (-90)
Xrn2	. (-139)
Xxylt1	. (+71)
Xylb	. (+172)
Yae1d1	. (+12)
Yars	. (+107)
Ybey	. (+89)
Ybx1	. (-66)
Yipf6	. (+353)
Ylpm1	. (-65)
Ypel5	. (-429)
Yrdc	. (+294)
Ythdc1	. (-269)
Ythdf1	. (-152)
Ythdf2	. (+53)
Ythdf3	. (-31)
Ywhae	. (+78)
Ywhag	. (-23118), . (-128)
Ywhah	. (-47)
Ywhaq	. (-270)
Ywhaz	. (+1891), . (+66710), . (+78102)
Yy1	. (-34901), . (-566)
Zar1l	. (-4412)
Zbtb10	. (-761)
Zbtb12	. (-309)
Zbtb2	. (+966)
Zbtb33	. (-50)
Zbtb38	. (-6449), . (-4169)
Zbtb42	. (+14946)
Zbtb43	. (-71)
Zbtb44	. (-366)
Zbtb45	. (-46)
Zbtb49	. (-67)
Zbtb7b	. (-2792)
Zbtb8os	. (+128)
Zbtb9	. (-35), . (+39111)
Zc3h10	. (-1397), . (+109), . (+11191)
Zc3h11a	. (-65)
Zc3h12a	. (+2852)
Zc3h12c	. (-61697)
Zc3h15	. (+97)
Zc3h18	. (-40)
Zc3h3	. (-87)
Zc3h6	. (-235)
Zc3h7a	. (+49)
Zc3h7b	. (+57603)
Zcchc13	. (-137003), . (-8164)
Zcchc2	. (+3311)
Zcchc7	. (-175)
Zdhhc14	. (+305999), . (+311967)
Zdhhc16	. (-75)
Zdhhc17	. (+99)
Zdhhc24	. (+66)
Zdhhc3	. (+154)
Zeb1	. (+398169)
Zer1	. (-273)
Zfand2a	. (-22)
Zfand3	. (-736)
Zfand6	. (-100196)
Zfat	. (+243)
Zfc3h1	. (-62)
Zfp113	. (+53)
Zfp142	. (-155)
Zfp148	. (-60)
Zfp160	. (-70)
Zfp185	. (+20796)
Zfp219	. (-2455), . (+788)
Zfp229	. (-24)
Zfp239	. (+16434)
Zfp260	. (-4449)
Zfp276	. (-24)
Zfp280d	. (+97)
Zfp281	. (+60689)
Zfp282	. (+278)
Zfp292	. (-28)
Zfp296	. (-3758)
Zfp3	. (+198)
Zfp318	. (-337)
Zfp322a	. (-32609)
Zfp335	. (+177)
Zfp341	. (+170)
Zfp362	. (-5501)
Zfp367	. (+865)
Zfp36l1	. (-209), . (+3987), . (+500004)
Zfp36l2	. (-145134), . (-3310), . (+6188), . (+68359), . (+159146)
Zfp384	. (-916)
Zfp395	. (-14843), . (-262)
Zfp397	. (+18)
Zfp398	. (+54)
Zfp408	. (-285)
Zfp41	. (-162)
Zfp438	. (+363234)
Zfp451	. (+109)
Zfp457	. (+47)
Zfp472	. (+171)
Zfp51	. (+25)
Zfp512	. (+94)
Zfp513	. (-97)
Zfp516	. (+43262)
Zfp52	. (-782)
Zfp54	. (+77)
Zfp541	. (-23860)
Zfp553	. (+16)
Zfp566	. (+165)
Zfp568	. (-186)
Zfp593	. (+39)
Zfp595	. (+168)
Zfp598	. (+14)
Zfp605	. (+104)
Zfp608	. (+87464)
Zfp609	. (-57570), . (-426)
Zfp62	. (+145)
Zfp622	. (+42)
Zfp623	. (+59)
Zfp637	. (-49)
Zfp655	. (+45)
Zfp692	. (-98)
Zfp708	. (-32936)
Zfp740	. (-1217), . (+20772)
Zfp747	. (-4)
Zfp771	. (-97)
Zfp786	. (-4851), . (+497)
Zfp809	. (-37)
Zfp81	. (+92)
Zfp846	. (+64)
Zfp871	. (-38)
Zfp873	. (-414667)
Zfp882	. (+73)
Zfp91	. (+1262)
Zfp933	. (-66)
Zfp949	. (-24958)
Zfpl1	. (-74)
Zfr	. (-80415), . (-161)
Zfx	. (+911)
Zmat1	. (+15916)
Zmiz1	. (-81053), . (+88), . (+58069)
Znfx1	. (-8962)
Znhit3	. (+49)
Znhit6	. (-17)
Znrd1	. (-74)
Znrd1as	. (-36)
Znrf2	. (-265)
Zpld1	. (-538911)
Zranb1	. (-4), . (+72295)
Zscan25	. (-2853)
Zswim7	. (+280)
Zswim8	. (-4557), . (-111)
Zyx	. (-51)
Zzef1	. (-254), . (+157761)
Zzz3	. (+508)

